cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,374,entrant,I,C,D3,0.02,235.9,90.0,1.0,,90033.0
chalon,374,entrant,I,V,D3,0.0,235.9,90.0,1.0,,90033.0
chalon,374,sortant,I,C,D3,0.03,234.4,90.0,1.0,,90033.0
chalon,374,sortant,I,V,D3,0.0,234.4,90.0,1.0,,90033.0
chalon,379,entrant,I,C,D3,0.1,202.1,90.0,1.0,17.0,90010.0
chalon,379,entrant,I,V,D3,0.01,202.1,90.0,1.0,17.0,90010.0
chalon,379,sortant,I,C,D2,0.05,199.3,90.0,1.0,17.0,90010.0
chalon,379,sortant,I,C,D3,0.15,217.1,90.0,1.0,17.0,90010.0
chalon,379,sortant,I,V,D2,0.01,199.2,90.0,1.0,17.0,90010.0
chalon,379,sortant,I,V,D3,0.02,217.1,90.0,1.0,17.0,90010.0
chalon,396,sortant,I,C,D2,0.5,106.9,21.0,1.0,23.0,21043.0
chalon,396,sortant,I,V,D2,0.62,106.9,21.0,1.0,23.0,21043.0
chalon,400,entrant,I,C,D2,0.04,105.7,71.0,1.0,18.0,71270.0
chalon,400,entrant,I,V,D2,0.05,105.7,71.0,1.0,18.0,71270.0
chalon,400,sortant,I,C,D2,0.06,104.8,71.0,1.0,18.0,71270.0
chalon,400,sortant,I,V,D2,0.03,104.8,71.0,1.0,18.0,71270.0
chalon,409,entrant,I,C,D2,0.02,167.8,89.0,1.0,5.0,89282.0
chalon,409,entrant,I,V,D2,0.01,167.8,89.0,1.0,5.0,89282.0
chalon,414,entrant,I,C,D2,0.25,134.2,70.0,1.0,24.0,70279.0
chalon,414,entrant,I,V,D2,0.27,134.2,70.0,1.0,24.0,70279.0
chalon,414,sortant,I,C,D2,0.61,137.1,70.0,1.0,24.0,70279.0
chalon,414,sortant,I,V,D2,0.04,131.9,70.0,1.0,24.0,70279.0
chalon,418,entrant,I,C,D2,0.13,121.9,21.0,1.0,27.0,21273.0
chalon,418,entrant,I,V,D2,0.07,121.9,21.0,1.0,27.0,21273.0
chalon,420,entrant,I,C,D2,0.81,126.8,89.0,1.0,,89128.0
chalon,420,entrant,I,V,D2,0.21,126.8,89.0,1.0,,89128.0
chalon,422,entrant,I,C,D2,0.17,110.4,21.0,1.0,27.0,21231.0
chalon,422,entrant,I,V,D2,0.09,110.4,21.0,1.0,27.0,21231.0
chalon,422,sortant,I,C,D2,0.08,116.9,21.0,1.0,27.0,21231.0
chalon,422,sortant,I,V,D2,0.09,110.9,21.0,1.0,27.0,21231.0
chalon,426,entrant,I,C,D2,0.16,123.3,25.0,1.0,36.0,25056.0
chalon,426,entrant,I,V,D2,0.12,123.3,25.0,1.0,36.0,25056.0
chalon,426,sortant,I,C,D2,0.18,123.3,25.0,1.0,36.0,25056.0
chalon,426,sortant,I,V,D2,0.06,123.6,25.0,1.0,36.0,25056.0
chalon,431,sortant,I,C,D2,0.03,186.4,25.0,1.0,,25243.0
chalon,431,sortant,I,V,D2,0.01,186.4,25.0,1.0,,25243.0
chalon,442,entrant,I,C,D2,0.02,180.6,90.0,1.0,,90052.0
chalon,442,entrant,I,V,D2,0.0,180.6,90.0,1.0,,90052.0
chalon,442,sortant,I,C,D2,0.02,179.9,90.0,1.0,,90052.0
chalon,442,sortant,I,V,D2,0.0,179.9,90.0,1.0,,90052.0
chalon,445,entrant,I,C,D2,0.1,155.8,58.0,1.0,9.0,58109.0
chalon,445,entrant,I,V,D2,0.05,155.8,58.0,1.0,9.0,58109.0
chalon,445,sortant,I,C,D2,0.01,163.4,58.0,1.0,9.0,58109.0
chalon,445,sortant,I,V,D2,0.01,163.4,58.0,1.0,9.0,58109.0
chalon,452,entrant,I,C,D2,0.04,180.6,39.0,1.0,,39297.0
chalon,452,entrant,I,V,D2,0.03,180.6,39.0,1.0,,39297.0
chalon,452,sortant,I,C,D2,0.02,180.4,39.0,1.0,,39297.0
